시가,고가,저가,종가,거래량,등락률,return,ma5,ma20,fib_high,fib_low,fib_236,fib_382,fib_500,fib_618,fib_236_diff,fib_382_diff,fib_500_diff,fib_618_diff,rsi,macd,macd_signal,macd_hist
28979,29040,28600,28820,196853,0.9103641456582634,0.0091036414565826,28784.0,29063.0,30200.0,25640.0,29123.84,28458.08,27920.0,27381.92,-0.010542678695350456,0.01255794587092291,0.031228313671061762,0.049898681471200614,42.731277533039645,235.70477446863515,389.5663997709883,-153.86162530235316
28740,28740,28400,28460,145321,-1.2491325468424705,-0.012491325468424685,28536.0,29049.0,30200.0,25640.0,29123.84,28458.08,27920.0,27381.92,-0.023325368938861564,6.746310611378264e-05,0.018973998594518624,0.03788053408292346,44.49541284403671,179.20135798828778,347.4933914144482,-168.2920334261604
28680,28799,28460,28680,138068,0.7730147575544624,0.007730147575544688,28588.0,29061.0,30200.0,25640.0,29123.84,28458.08,27920.0,27381.92,-0.01547559274755928,0.007737796373779577,0.026499302649930265,0.045260808926080955,44.74885844748859,150.4399763243273,308.08270839642404,-157.64273207209675
28680,28799,28399,28680,125403,0.0,0.0,28640.0,29053.0,30200.0,25640.0,29123.84,28458.08,27920.0,27381.92,-0.01547559274755928,0.007737796373779577,0.026499302649930265,0.045260808926080955,41.2621359223301,126.19171460670623,271.7045096384805,-145.51279503177426
28860,29800,28700,29400,211652,2.510460251046025,0.025104602510460206,28808.0,29103.0,30200.0,26000.0,29208.8,28595.6,28100.0,27604.4,0.006503401360544243,0.027360544217687126,0.04421768707482993,0.06107482993197274,43.72093023255814,163.1916039777243,250.00192850632928,-86.81032452860498
29560,29700,29240,29240,190521,-0.5442176870748299,-0.0054421768707483276,28892.0,29144.0,30200.0,26000.0,29208.8,28595.6,28100.0,27604.4,0.001067031463748315,0.022038303693570502,0.03898768809849521,0.05593707250341992,40.55299539170507,177.5568551489996,235.51291383486335,-57.95605868586375
29400,29700,29200,29580,155468,1.1627906976744187,0.011627906976744207,29116.0,29149.0,30200.0,26000.0,29208.8,28595.6,28100.0,27604.4,0.012549019607843161,0.03327924273157544,0.050033806626098715,0.06678837052062199,52.23880597014925,213.91074874303376,231.19248081649744,-17.281732073463672
29400,29780,29400,29660,182151,0.2704530087897228,0.0027045300878971723,29312.0,29185.0,30200.0,26000.0,29208.8,28595.6,28100.0,27604.4,0.015212407282535426,0.03588671611598117,0.052596089008766014,0.06930546190155086,54.77386934673367,246.33718106037486,234.22142086527293,12.115760195101927
29600,29880,29560,29800,199202,0.4720161834120027,0.00472016183411994,29536.0,29218.0,30200.0,26260.0,29270.16,28694.92,28230.0,27765.08,0.017779865771812085,0.03708322147651012,0.052684563758389265,0.0682859060402684,55.66502463054187,280.10333537098995,243.39780376641636,36.70553160457359
29580,29819,29360,29580,205866,-0.738255033557047,-0.007382550335570448,29572.0,29227.0,30200.0,26260.0,29270.16,28694.92,28230.0,27765.08,0.010474645030425968,0.029921568627451038,0.04563894523326572,0.0613563218390804,50.73170731707317,285.8163812226594,251.881519257665,33.93486196499441
29699,29699,29300,29480,188595,-0.3380662609871535,-0.0033806626098715764,29620.0,29204.0,30200.0,26260.0,29270.16,28694.92,28230.0,27765.08,0.007118046132971511,0.02663093622795121,0.042401628222523746,0.05817232021709628,47.2636815920398,279.0580395825418,257.3168233226404,21.74121625990142
29199,29400,28539,28920,271021,-1.8995929443690638,-0.018995929443690662,29488.0,29147.0,30200.0,26400.0,29303.2,28748.4,28300.0,27851.6,-0.013250345781466139,0.005933609958506174,0.021438450899031812,0.03694329183955745,57.57575757575758,225.91052929945727,251.0355645180038,-25.125035218546543
29239,29540,28940,29540,215247,2.143845089903181,0.021438450899031736,29464.0,29154.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,0.0062586323628978004,0.023952606635071136,0.03825321597833446,0.05255382532159779,64.28571428571428,231.15495253294648,247.05944212099237,-15.904489588045891
29539,29559,28940,29000,203446,-1.8280297901150981,-0.018280297901150933,29304.0,29140.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.012245517241379275,0.005777931034482804,0.020344827586206895,0.03491172413793099,55.092592592592595,189.55266358444715,235.55808641368336,-46.00542282923621
28920,28960,28460,28600,247898,-1.3793103448275863,-0.01379310344827589,29108.0,29103.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.026402797202797167,-0.008127272727272681,0.006643356643356644,0.021413986013985968,47.53363228699551,122.88930143295511,213.02432941753773,-90.13502798458262
28420,28900,28399,28880,237053,0.9790209790209791,0.009790209790209836,28988.0,29071.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.016451523545706337,0.0016468144044321784,0.016274238227146815,0.03090166204986145,54.794520547945204,91.59590599879084,188.73864473378836,-97.14273873499752
28879,29460,28720,29220,253111,1.1772853185595569,0.011772853185595622,29048.0,29047.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.004624229979466084,0.01326351813826151,0.027720739219712527,0.04217796030116354,56.00000000000001,93.15696762730295,169.6223093124913,-76.46534168518835
29400,29400,28800,29020,184903,-0.6844626967830253,-0.006844626967830281,28944.0,29077.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.011547898001378325,0.006463128876636848,0.02101998621640248,0.035576843556168115,53.617021276595736,77.36398779063893,151.17064500812083,-73.8066572174819
28979,29100,28000,28200,381798,-2.8256374913852516,-0.028256374913852467,28784.0,29066.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.04096170212765954,-0.022426950354609884,-0.007446808510638298,0.007533333333333287,37.5,-1.3041757599166885,120.67568085451333,-121.97985661443002
28200,28220,27500,27900,330343,-1.0638297872340425,-0.010638297872340385,28644.0,29033.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.05215483870967738,-0.0334207885304659,-0.01827956989247312,-0.0031383512544803337,36.43724696356276,-86.85553836209147,79.16943701119239,-166.02497537328384
27799,28000,27180,27320,313946,-2.078853046594982,-0.02078853046594986,28332.0,28958.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.0744919472913616,-0.05536017569546115,-0.039897510980966326,-0.024434846266471497,28.18532818532819,-199.1609587670755,23.50335785553881,-222.6643166226143
27339,27880,27279,27700,217913,1.390922401171303,0.013909224011713128,28028.0,28920.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.05975162454873643,-0.04088231046931403,-0.025631768953068592,-0.010381227436823152,32.11678832116789,-254.56650513830755,-32.110614743230464,-222.4558903950771
27699,28360,27580,28200,367057,1.8050541516245486,0.018050541516245522,27864.0,28896.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.04096170212765954,-0.022426950354609884,-0.007446808510638298,0.007533333333333287,36.3013698630137,-255.1883263107702,-76.72615705673842,-178.46216925403178
28140,28460,27940,28000,165674,-0.7092198581560284,-0.007092198581560294,27824.0,28862.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.04839714285714282,-0.029729999999999954,-0.014642857142857143,0.0004442857142856675,36.42611683848797,-268.7217950206941,-115.12528464952956,-153.59651037116456
27800,27819,27120,27240,265410,-2.7142857142857144,-0.027142857142857135,27692.0,28754.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.07764757709251098,-0.05845961820851684,-0.042951541850220265,-0.02744346549192369,32.71604938271605,-336.8893640097158,-159.47810052156683,-177.41126348814896
27240,27500,27080,27400,205148,0.5873715124816447,0.005873715124816492,27708.0,28662.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.07135474452554741,-0.05227883211678827,-0.03686131386861314,-0.021443795620438005,37.5,-373.6942757360521,-202.32133556446388,-171.3729401715882
27319,27400,26760,26760,189762,-2.335766423357664,-0.023357664233576658,27520.0,28521.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.09697757847533628,-0.07744544095665166,-0.061659192825112105,-0.045872944693572545,27.213114754098356,-449.3255396158165,-251.72217637473443,-197.6033632410821
27200,27200,26719,26720,192809,-0.14947683109118087,-0.001494768310911776,27224.0,28374.0,30200.0,26620.0,29355.12,28832.44,28410.0,27987.56,-0.09861976047904188,-0.07905838323353288,-0.06324850299401198,-0.04743862275449107,29.64285714285714,-506.6511675601796,-302.7079746118235,-203.9431929483561
26900,27060,26480,26620,212664,-0.37425149700598803,-0.0037425149700598404,26948.0,28215.0,30200.0,26480.0,29322.08,28778.96,28340.0,27901.04,-0.10150563486100683,-0.08110293012772349,-0.06461307287753569,-0.04812321562734789,31.320754716981128,-553.7678143250159,-352.919942554462,-200.84787177055392
26979,26979,26520,26660,197545,0.15026296018031557,0.0015026296018032514,26832.0,28069.0,30200.0,26480.0,29322.08,28778.96,28340.0,27901.04,-0.09985296324081026,-0.07948087021755436,-0.06301575393848462,-0.04655063765941489,28.06324110671936,-581.1809385501765,-398.57214175360497,-182.60879679657154
26820,26860,26559,26800,169770,0.5251312828207052,0.005251312828207011,26712.0,27935.0,30200.0,26480.0,29322.08,28778.96,28340.0,27901.04,-0.09410746268656722,-0.07384179104477609,-0.057462686567164176,-0.04108358208955227,25.102880658436206,-584.8672217630519,-435.83115775549436,-149.03606400755757
27100,27120,26420,26520,178447,-1.0447761194029852,-0.010447761194029903,26664.0,27815.0,30200.0,26420.0,29307.92,28756.04,28310.0,27863.96,-0.10512518853695317,-0.08431523378582205,-0.06749622926093514,-0.05067722473604823,24.696356275303643,-603.4263642031874,-469.350199045033,-134.07616515815442
26700,26700,26180,26400,192537,-0.4524886877828055,-0.004524886877828038,26600.0,27658.0,30200.0,26180.0,29251.28,28664.36,28190.0,27715.64,-0.10800303030303025,-0.08577121212121214,-0.06780303030303031,-0.04983484848484846,28.773584905660385,-620.6629987166489,-499.61275897935616,-121.05023973729271
26419,27100,26139,26760,173618,1.3636363636363635,0.013636363636363669,26628.0,27546.0,30200.0,26139.0,29241.604,28648.698,28169.5,27690.302,-0.09273557548579968,-0.07057914798206279,-0.05267189835575486,-0.03476464872944692,36.744186046511636,-598.3764531221641,-519.3654978079178,-79.0109553142463
26980,27400,26820,27320,205829,2.092675635276532,0.020926756352765308,26760.0,27482.0,30200.0,26139.0,29241.604,28648.698,28169.5,27690.302,-0.0703368960468521,-0.04863462664714496,-0.031094436310395313,-0.013554245973645669,50.0,-529.4240148003082,-521.3772012063959,-8.046813593912361
27420,27440,26880,27040,144212,-1.0248901903367496,-0.010248901903367469,26808.0,27390.0,30200.0,26139.0,29241.604,28648.698,28169.5,27690.302,-0.08142026627218933,-0.059493269230769245,-0.04177144970414201,-0.02404963017751478,42.10526315789473,-491.7043093937209,-515.4426228438608,23.738313450139913
27060,27060,26700,27000,163916,-0.14792899408284024,-0.0014792899408283544,26904.0,27279.0,30200.0,26139.0,29241.604,28648.698,28169.5,27690.302,-0.08302237037037034,-0.0610628888888889,-0.04331481481481481,-0.02556674074074073,33.87096774193549,-459.73924892538344,-504.3019480601654,44.56269913478195
27320,27380,26720,27240,200683,0.8888888888888888,0.008888888888888946,27072.0,27190.0,30200.0,26139.0,29241.604,28648.698,28169.5,27690.302,-0.07348032305433184,-0.05171431718061675,-0.03412261380323054,-0.016530910425844335,39.89361702127659,-410.3109052658547,-485.5037395013033,75.19283423544863
27200,27319,26260,26280,345309,-3.524229074889868,-0.03524229074889873,26976.0,27094.0,30200.0,26139.0,29241.604,28648.698,28169.5,27690.302,-0.11269421613394213,-0.09013310502283106,-0.07189878234398782,-0.05366445966514458,37.87878787878788,-443.49028382017786,-477.10104836507827,33.610764544900405
